biocomp_id,molregno,component_id
1878,1121956,20683
1280,1121957,20884
3430,1121957,20885
3145,1121958,20566
1570,1121958,20567
1281,1121958,21446
2825,1121958,21447
2827,1121959,20550
2826,1121959,20551
3431,1121960,21477
2828,1121960,21478
2342,1121961,20795
3283,1121961,20796
2209,1121962,20918
2210,1121962,20919
1468,1158403,21481
1691,1204085,21579
2306,1204086,20779
2305,1204086,21862
2248,1248689,20526
3050,1248706,20781
1470,1285395,20949
2198,1302883,21830
3108,1360388,20631
1332,1369610,20663
3189,1369610,20664
2556,1369610,22018
3503,1369610,22019
2892,1376028,20528
2015,1376063,20955
2711,1376067,20958
3278,1376085,20957
1769,1376171,20593
3507,1376190,20596
1622,1376215,20598
2717,1376223,20599
1778,1376244,20600
3510,1376249,20601
3335,1376254,20604
3509,1376656,20612
1339,1376661,20615
2896,1376661,21570
1338,1376661,21906
2252,1376661,21912
2076,1376673,20618
1623,1377257,20633
2253,1377257,22159
3040,1377906,20961
2712,1377910,20963
1768,1378042,20822
3036,1378059,20699
1551,1378134,20701
1483,1378654,20709
2397,1378683,20719
3208,1380013,20726
2222,1380110,20960
1777,1380119,20548
1487,1380119,20549
2560,1380135,20585
2559,1380135,21570
1621,1380135,21905
3194,1380135,21912
2077,1380137,20962
2546,1380140,22108
1919,1380140,22109
2227,1380140,22205
2228,1380140,22206
1910,1380143,20970
3651,1380157,20588
3650,1380157,22155
2894,1380179,20589
2716,1380222,20722
2391,1380249,20723
2392,1380290,20727
1343,1380291,20728
2885,1380293,20729
3190,1380293,21768
2563,1380300,20730
3643,1380306,20731
1771,1380306,20732
2405,1380309,20733
2311,1380320,20734
2889,1380322,20735
2887,1380324,20736
1334,1380325,20737
1946,1380330,21549
2402,1380338,20590
1698,1380344,20591
2325,1380344,22027
2403,1380350,20592
2714,1380386,20594
2249,1380436,20602
3511,1380436,20603
3048,1380437,20605
3047,1380437,20606
1950,1380446,20607
2639,1380448,20608
3193,1380451,20609
2246,1380451,21718
3508,1380451,22162
2247,1380451,22194
1486,1380458,20610
2561,1380480,20704
2251,1380480,21614
2715,1380496,20611
2404,1380535,20613
2571,1380544,20788
2568,1380548,20793
3203,1380548,21710
3327,1380550,20794
2569,1380552,20799
2901,1380552,21444
3522,1380557,20808
2244,1380558,20809
1619,1380558,20852
3639,1380560,20810
2989,1380561,20812
1641,1380562,20813
2262,1380563,20816
2388,1380564,20817
1632,1380568,20824
1480,1380569,20825
3204,1380571,21515
2256,1380571,21570
2389,1380573,20832
2574,1380574,20833
2468,1380577,20837
1548,1380577,21628
2470,1380578,20838
1920,1380579,20839
2000,1380580,20840
2576,1380581,21556
2472,1380584,20843
3012,1380585,20844
3614,1380585,22152
1934,1380588,20851
2886,1380588,20852
3462,1380594,20864
3037,1380595,20865
3640,1380597,20871
1481,1380597,20872
1354,1380602,20879
2264,1380602,21958
2710,1380603,20880
2390,1380604,20888
2570,1380605,20889
1949,1380606,20896
3328,1380609,20897
1770,1380609,20898
2078,1380610,20899
3652,1380610,20900
3038,1380612,20901
2263,1380614,20908
3210,1380614,22015
3039,1380615,20909
3265,1380616,20913
1300,1380617,20914
3653,1380619,20920
1715,1380620,21100
3280,1380620,21101
1635,1380622,20921
1549,1380624,20922
2469,1380624,20923
1408,1380626,20925
3042,1380627,20614
2328,1380646,20616
3502,1380666,20617
1336,1380668,20619
3043,1380677,20620
3044,1380678,20621
2394,1380685,20622
1643,1380687,20623
3645,1380704,20624
1776,1380723,20626
3329,1380730,20627
1333,1380737,20628
1639,1380745,20629
3649,1380765,20634
3046,1380787,20635
2398,1380804,20636
2979,1380823,20637
1309,1380834,20956
1488,1380837,20938
2980,1380849,20939
2547,1380855,22147
2548,1380855,22148
3211,1380860,20940
1637,1380860,21812
1489,1380879,20941
2718,1380880,20942
3309,1380903,20944
2572,1380917,20945
2001,1380919,20946
1490,1380920,20947
3206,1380930,20948
1595,1380936,21666
2212,1380936,21667
3477,1380936,22145
2861,1380936,22146
3177,1380938,21479
