cpd_str_alert_id,molregno,alert_id
75945323,652,127
76873657,652,990
77615739,652,1040
78188361,652,1047
78417741,652,1064
78672856,652,1068
78876984,652,1079
74637298,653,9
74645172,653,17
75846580,653,123
75945324,653,127
76873658,653,990
77615740,653,1040
78188362,653,1047
78417742,653,1064
78672857,653,1068
78876985,653,1079
76430363,654,160
74874559,659,63
78054247,659,1041
74874560,660,63
78054248,660,1041
75607819,661,110
77027639,661,1029
78711938,661,1069
74874561,662,63
75339919,662,101
76708207,662,267
77615741,662,1040
78054249,662,1041
75707128,663,113
76388775,663,154
77615742,663,1040
78711939,663,1069
76388776,665,154
76388777,666,154
74874562,669,63
78054250,669,1041
75607820,670,110
77027640,670,1029
77245926,670,1030
77615743,670,1040
78054251,670,1041
74874563,671,63
75339920,671,101
76708208,671,267
77615744,671,1040
78054252,671,1041
75157092,673,66
74838626,675,57
78397126,675,1063
75607821,678,110
77027641,678,1029
77245927,678,1030
77615745,678,1040
78054253,678,1041
75327372,679,100
76536546,679,209
76555512,679,221
76562482,679,222
76603860,679,235
76675103,679,252
76886868,679,1003
78389876,679,1062
75607822,681,110
76430364,682,160
75846581,683,123
75945325,683,127
76430365,683,160
78188363,683,1047
75327373,684,100
76536547,684,209
76555513,684,221
76562483,684,222
76603861,684,235
76675104,684,252
76886869,684,1003
78389877,684,1062
76464756,686,163
78397127,686,1063
77615746,687,1040
75157093,689,66
74795716,691,48
75364699,691,104
76803688,691,345
76959185,691,1018
76994466,691,1028
77027642,691,1029
78988940,691,1091
79025447,691,1098
74698293,703,32
74874564,703,63
77562165,703,1039
77615747,703,1040
78054254,703,1041
78397128,704,1063
78417743,704,1064
76314807,707,143
78160447,707,1043
78417744,709,1064
78397129,710,1063
78417745,710,1064
75316000,713,98
78397130,715,1063
75247552,716,81
75327374,718,100
76536548,718,209
76555514,718,221
76562484,718,222
76603862,718,235
76675105,718,252
76886870,718,1003
78389878,718,1062
77245928,719,1030
74611584,722,1
75136381,722,64
76514964,722,195
76749071,722,305
78344391,722,1059
78417746,723,1064
77027643,725,1029
76464757,726,163
78397131,726,1063
74743391,727,36
75394104,727,106
75531818,727,107
76397680,727,156
76935434,727,1016
76464758,728,163
78397132,728,1063
78417747,728,1064
74639403,729,15
75183239,729,68
75274062,729,92
76308829,729,140
76526144,729,201
76821290,729,346
76874060,729,993
76966538,729,1022
76970713,729,1025
77245929,729,1030
74639404,730,15
75183240,730,68
75274063,730,92
76308830,730,140
76526145,730,201
76821291,730,346
76874061,730,993
76966539,730,1022
76970714,730,1025
77245930,730,1030
74838627,731,57
78397133,731,1063
78417748,731,1064
78397134,732,1063
78417749,732,1064
76464759,733,163
78397135,733,1063
76464760,734,163
78397136,734,1063
76314808,735,143
78160448,735,1043
76464761,738,163
78397137,738,1063
76464762,739,163
78397138,739,1063
76464763,741,163
78397139,741,1063
76464764,742,163
78397140,742,1063
76464765,743,163
78397141,743,1063
78417750,744,1064
75394105,745,106
75531819,745,107
75607823,746,110
77027644,746,1029
77245931,746,1030
77615748,746,1040
78054255,746,1041
74645173,749,17
75945326,749,127
76617220,749,238
77615749,749,1040
78417751,749,1064
78672858,749,1068
78876986,749,1079
74645174,751,17
75283742,751,93
75945327,751,127
76496785,751,192
76617221,751,238
77245932,751,1030
77615750,751,1040
78417752,751,1064
78672859,751,1068
78859011,751,1078
78876987,751,1079
74611585,752,1
74645175,752,17
75136382,752,64
75945328,752,127
76514965,752,195
76617222,752,238
76749072,752,305
77615751,752,1040
78344392,752,1059
78417753,752,1064
78672860,752,1068
78876988,752,1079
78397142,753,1063
78417754,753,1064
75846582,755,123
75945329,755,127
78188364,755,1047
78273767,755,1049
76464766,756,163
77245933,756,1030
78397143,756,1063
77615752,758,1040
78417755,759,1064
75327375,762,100
76536549,762,209
76555515,762,221
76562485,762,222
76603863,762,235
76675106,762,252
76886871,762,1003
78389879,762,1062
75607824,763,110
78397144,766,1063
78417756,766,1064
74838628,767,57
78397145,767,1063
78417757,767,1064
76430366,769,160
76464767,770,163
78397146,770,1063
78397147,771,1063
75327376,773,100
76536550,773,209
76555516,773,221
76562486,773,222
76603864,773,235
76675107,773,252
76886872,773,1003
75327377,774,100
76536551,774,209
76555517,774,221
76562487,774,222
76603865,774,235
76675108,774,252
76886873,774,1003
77615753,774,1040
75607825,775,110
77027645,775,1029
77245934,775,1030
77615754,775,1040
78054256,775,1041
75339921,776,101
76717957,776,269
74611586,777,1
75136383,777,64
76749073,777,305
78344393,777,1059
75327378,778,100
76536552,778,209
76555518,778,221
76562488,778,222
76603866,778,235
76675109,778,252
76886874,778,1003
75327379,779,100
76536553,779,209
76553292,779,218
76555519,779,221
76562489,779,222
76603867,779,235
76675110,779,252
76886875,779,1003
75327380,780,100
76536554,780,209
76553293,780,218
76555520,780,221
76562490,780,222
76603868,780,235
76675111,780,252
76886876,780,1003
75283743,781,93
76496786,781,192
77027646,781,1029
77245935,781,1030
77615755,781,1040
78859012,781,1078
74874565,782,63
75247553,782,81
76295651,782,139
77615756,782,1040
75157094,783,66
78417758,783,1064
77615757,789,1040
75247554,790,81
75247555,791,81
76708209,792,267
78417759,793,1064
75247556,794,81
75247557,795,81
76314809,798,143
78160449,798,1043
75247558,799,81
78417760,802,1064
76464768,803,163
78397148,803,1063
75394106,805,106
77497825,805,1032
74611587,808,1
75136384,808,64
76749074,808,305
78344394,808,1059
75247559,809,81
76464769,810,163
78397149,810,1063
74698294,812,32
74874566,812,63
77562166,812,1039
77615758,812,1040
78054257,812,1041
74743392,813,36
75394107,813,106
75531820,813,107
76397681,813,156
76935435,813,1016
77245936,813,1030
74611588,817,1
74645176,817,17
75136385,817,64
75945330,817,127
76514966,817,195
76617223,817,238
76749075,817,305
77615759,817,1040
78344395,817,1059
78417761,817,1064
78672861,817,1068
78876989,817,1079
74823164,818,56
77245937,818,1030
75247560,819,81
76136931,819,128
74645177,820,17
75945331,820,127
76617224,820,238
77615760,820,1040
78417762,820,1064
78672862,820,1068
78876990,820,1079
77245938,821,1030
75607826,822,110
77615761,822,1040
75247561,823,81
75247562,824,81
76430367,826,160
75327381,827,100
76536555,827,209
76555521,827,221
76562491,827,222
76603869,827,235
76675112,827,252
76886877,827,1003
75247563,828,81
75283744,829,93
76496787,829,192
77027647,829,1029
77245939,829,1030
77615762,829,1040
78859013,829,1078
74874567,830,63
75283745,830,93
76496788,830,192
77027648,830,1029
77245940,830,1030
78859014,830,1078
76430368,834,160
76464770,835,163
78397150,835,1063
75327382,836,100
76536556,836,209
76555522,836,221
76562492,836,222
76603870,836,235
76675113,836,252
76886878,836,1003
77027649,836,1029
74786710,837,47
74850444,837,59
75707129,837,113
76483715,837,182
76538936,837,213
77245941,837,1030
79007720,837,1095
74776557,842,42
75247564,842,81
76295652,842,139
76920337,842,1006
75327383,843,100
76536557,843,209
76555523,843,221
76562493,843,222
76603871,843,235
76675114,843,252
76886879,843,1003
75327384,844,100
76536558,844,209
76555524,844,221
76562494,844,222
76603872,844,235
76675115,844,252
76886880,844,1003
74743393,845,36
75394108,845,106
75531821,845,107
75846583,845,123
75945332,845,127
76397682,845,156
76935436,845,1016
78188365,845,1047
75846584,846,123
75945333,846,127
76345550,846,153
77537540,846,1037
78188366,846,1047
78273768,846,1049
77245942,848,1030
77245943,849,1030
74611589,851,1
75136386,851,64
76749076,851,305
78344396,851,1059
74812883,853,49
75364700,853,104
75707130,853,113
76254370,853,137
76746140,853,297
77615763,853,1040
78159205,853,1042
74698295,854,32
74874568,854,63
75607827,854,110
77027650,854,1029
77245944,854,1030
77562167,854,1039
77615764,854,1040
78054258,854,1041
78711940,854,1069
74698296,855,32
74874569,855,63
77562168,855,1039
77615765,855,1040
78054259,855,1041
74823165,856,56
77245945,856,1030
74823166,857,56
77245946,857,1030
74823167,858,56
75247565,858,81
77245947,858,1030
76314810,860,143
78160450,860,1043
77245948,861,1030
74874570,862,63
75283746,862,93
76496789,862,192
77027651,862,1029
77245949,862,1030
78859015,862,1078
