prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19494,PRODUCT_203100_001,10039718,2032-10-06,0,1,,0,2018-09-04
19495,PRODUCT_206947_001,10259791,2035-08-26,1,0,,0,2019-05-13
19496,PRODUCT_210491_001,7495103,2027-05-20,1,1,,0,2018-03-09
19498,PRODUCT_207921_001,10022509,2031-05-18,0,1,,0,2018-08-13
19500,PRODUCT_205625_003,9333310,2027-10-02,0,1,,0,2018-06-13
19501,PRODUCT_204026_003,9993467,2030-05-19,0,1,,0,2018-07-11
19502,PRODUCT_209863_002,9180259,2026-01-24,0,1,,0,2018-10-24
19503,PRODUCT_207202_003,9941931,2030-11-04,0,1,,0,2018-05-07
19504,PRODUCT_022272_001,10369109,2023-06-16,0,1,,0,2019-08-09
19506,PRODUCT_208653_002,9549923,2030-07-01,1,1,,0,2019-01-25
19507,PRODUCT_212038_005,10292938,2035-10-30,0,1,,0,2019-05-22
19509,PRODUCT_211710_001,8513263,2029-12-23,1,1,,0,2018-12-20
19510,PRODUCT_208313_007,9241948,2033-07-01,0,1,,0,2018-07-25
19511,PRODUCT_202880_006,10322120,2033-07-25,0,1,,0,2019-07-17
19512,PRODUCT_206089_003,8778916,2030-04-12,0,1,,0,2019-04-08
19513,PRODUCT_206627_004,10369109,2023-06-16,0,1,,0,2019-08-09
19514,PRODUCT_207078_002,8877255,2033-10-22,1,0,,0,2018-06-12
19515,PRODUCT_210854_002,8987441,2031-09-21,1,1,,0,2018-11-16
19516,PRODUCT_209863_001,9744302,2035-11-19,0,1,,0,2018-10-24
19517,PRODUCT_209863_001,9629959,2026-01-24,0,1,,0,2018-10-24
19518,PRODUCT_209299_002,8771648,2032-07-27,0,1,,0,2018-05-16
19520,PRODUCT_019034_003,9248229,2034-03-12,0,1,,0,2018-02-05
19521,PRODUCT_208772_002,9012462,2031-04-28,1,0,,0,2017-05-26
19522,PRODUCT_210428_002,9504655,2035-07-09,0,1,,0,2018-03-14
19523,PRODUCT_209482_001,8534281,2030-03-08,0,1,,0,2017-10-06
19524,PRODUCT_211371_001,9750822,2029-03-13,0,1,,0,2019-06-27
19525,PRODUCT_210428_004,9700530,2035-07-09,0,1,,0,2018-03-14
19527,PRODUCT_202788_001,10016403,2027-01-25,0,1,,0,2018-08-10
19528,PRODUCT_211710_001,9127013,2029-10-21,1,1,,0,2018-12-20
19529,PRODUCT_209776_001,10172874,2031-08-08,0,1,,0,2019-02-21
19530,PRODUCT_022156_002,10010537,2031-10-10,0,1,,0,2018-07-12
19531,PRODUCT_210563_001,10125140,2033-06-03,1,1,,0,2018-11-16
19534,PRODUCT_209637_001,9457154,2027-09-27,0,1,,0,2017-12-20
19535,PRODUCT_208313_006,9241948,2033-07-01,0,1,,0,2018-07-25
19537,PRODUCT_210563_003,9181257,2026-12-28,1,0,,0,2018-03-06
19539,PRODUCT_205636_002,10124131,2031-05-18,0,1,,0,2019-01-09
19540,PRODUCT_209184_001,9155699,2023-03-19,0,1,,0,2019-01-18
19541,PRODUCT_206321_001,7762994,2024-05-23,0,1,,0,2019-01-23
19542,PRODUCT_022569_003,9814705,2024-01-08,0,1,,0,2017-12-13
19543,PRODUCT_210563_004,10213386,2036-03-03,0,1,,0,2019-03-08
19544,PRODUCT_208073_001,9890141,2030-10-21,1,0,,0,2018-03-05
19545,PRODUCT_208437_001,7931212,2025-11-25,0,1,,0,2018-01-02
19546,PRODUCT_207202_001,8961412,2030-11-17,0,1,,0,2017-12-12
19548,PRODUCT_210563_001,10010507,2036-03-03,0,1,,0,2018-07-17
19551,PRODUCT_204441_003,8501730,2026-09-01,1,0,,0,2018-05-21
19554,PRODUCT_209311_004,9283214,2032-03-23,0,1,,0,2018-09-07
19555,PRODUCT_209022_001,10076614,2034-10-20,0,1,,0,2018-10-12
19556,PRODUCT_019034_001,9248229,2034-03-12,0,1,,0,2018-02-05
19557,PRODUCT_203684_001,10232061,2038-07-06,0,1,,0,2019-03-25
19558,PRODUCT_208799_002,9987229,2024-09-01,0,1,,0,2018-07-03
19559,PRODUCT_211358_001,8410274,2026-12-28,0,1,,0,2018-09-06
19561,PRODUCT_209806_001,9308204,2030-10-21,0,1,,0,2018-01-16
19563,PRODUCT_207202_001,9320455,2031-12-15,0,1,,0,2017-12-12
19564,PRODUCT_204308_001,9855214,2032-11-06,0,1,,0,2018-01-10
19566,PRODUCT_206627_003,10369109,2023-06-16,0,1,,0,2019-08-09
19568,PRODUCT_204441_001,8501730,2026-09-01,1,0,,0,2018-05-21
19571,PRODUCT_209299_001,8445485,2026-06-17,0,1,,0,2018-05-16
19572,PRODUCT_208010_001,10300078,2034-03-14,0,1,,0,2019-06-18
19576,PRODUCT_205552_002,7514444,2026-12-28,1,1,,0,2018-01-19
