chembl_id,entity_type,entity_id,status,last_active
CHEMBL1000164,ASSAY,497656,ACTIVE,34.0
CHEMBL1000165,ASSAY,497657,ACTIVE,34.0
CHEMBL1000166,ASSAY,497658,ACTIVE,34.0
CHEMBL1000167,ASSAY,497659,ACTIVE,34.0
CHEMBL1000168,ASSAY,497660,ACTIVE,34.0
CHEMBL1000169,ASSAY,497661,ACTIVE,34.0
CHEMBL100017,COMPOUND,166365,ACTIVE,34.0
CHEMBL1000170,ASSAY,497662,ACTIVE,34.0
CHEMBL1000171,ASSAY,497663,ACTIVE,34.0
CHEMBL1000172,ASSAY,497664,ACTIVE,34.0
CHEMBL1000173,ASSAY,497665,ACTIVE,34.0
CHEMBL1000174,ASSAY,497666,ACTIVE,34.0
CHEMBL1000175,ASSAY,497667,ACTIVE,34.0
CHEMBL1000176,ASSAY,497668,ACTIVE,34.0
CHEMBL1000177,ASSAY,497669,ACTIVE,34.0
CHEMBL1000178,ASSAY,497670,ACTIVE,34.0
CHEMBL1000179,ASSAY,497671,ACTIVE,34.0
CHEMBL100018,COMPOUND,166525,ACTIVE,34.0
CHEMBL1000180,ASSAY,497672,ACTIVE,34.0
CHEMBL1000181,ASSAY,497673,ACTIVE,34.0
CHEMBL1000182,ASSAY,497674,ACTIVE,34.0
CHEMBL1000183,ASSAY,497675,ACTIVE,34.0
CHEMBL1000184,ASSAY,497676,ACTIVE,34.0
CHEMBL1000185,ASSAY,497677,ACTIVE,34.0
CHEMBL1000186,ASSAY,497678,ACTIVE,34.0
CHEMBL1000187,ASSAY,497679,ACTIVE,34.0
CHEMBL1000188,ASSAY,497680,ACTIVE,34.0
CHEMBL1000189,ASSAY,497681,ACTIVE,34.0
CHEMBL100019,COMPOUND,166526,ACTIVE,34.0
CHEMBL1000190,ASSAY,497682,ACTIVE,34.0
CHEMBL1000191,ASSAY,497683,ACTIVE,34.0
CHEMBL1000192,ASSAY,497684,ACTIVE,34.0
CHEMBL1000193,ASSAY,497685,ACTIVE,34.0
CHEMBL1000194,ASSAY,497686,ACTIVE,34.0
CHEMBL1000195,ASSAY,497687,ACTIVE,34.0
CHEMBL1000196,ASSAY,497688,ACTIVE,34.0
CHEMBL1000197,ASSAY,497649,ACTIVE,34.0
CHEMBL1000198,ASSAY,497650,ACTIVE,34.0
CHEMBL1000199,ASSAY,497689,ACTIVE,34.0
CHEMBL10002,COMPOUND,7039,ACTIVE,34.0
CHEMBL100020,COMPOUND,165252,ACTIVE,34.0
CHEMBL1000200,ASSAY,497690,ACTIVE,34.0
CHEMBL1000201,ASSAY,497691,ACTIVE,34.0
CHEMBL1000202,ASSAY,497692,ACTIVE,34.0
CHEMBL1000203,ASSAY,497693,ACTIVE,34.0
CHEMBL1000204,ASSAY,497694,ACTIVE,34.0
CHEMBL1000205,ASSAY,497695,ACTIVE,34.0
CHEMBL1000206,ASSAY,571105,ACTIVE,34.0
CHEMBL1000207,ASSAY,498004,ACTIVE,34.0
CHEMBL1000208,ASSAY,498005,ACTIVE,34.0
CHEMBL1000209,ASSAY,498006,ACTIVE,34.0
CHEMBL100021,COMPOUND,167819,INACTIVE,8.0
CHEMBL1000210,ASSAY,498007,ACTIVE,34.0
CHEMBL1000211,ASSAY,498008,ACTIVE,34.0
CHEMBL1000212,ASSAY,498009,ACTIVE,34.0
CHEMBL1000213,ASSAY,498010,ACTIVE,34.0
CHEMBL1000214,ASSAY,498011,ACTIVE,34.0
CHEMBL1000215,ASSAY,498012,ACTIVE,34.0
CHEMBL1000216,ASSAY,498013,ACTIVE,34.0
CHEMBL1000217,ASSAY,498014,ACTIVE,34.0
CHEMBL1000218,ASSAY,498015,ACTIVE,34.0
CHEMBL1000219,ASSAY,498016,ACTIVE,34.0
CHEMBL100022,COMPOUND,165725,ACTIVE,34.0
CHEMBL1000220,ASSAY,498017,ACTIVE,34.0
CHEMBL1000221,ASSAY,498018,ACTIVE,34.0
CHEMBL1000222,ASSAY,498019,ACTIVE,34.0
CHEMBL1000223,ASSAY,498020,ACTIVE,34.0
CHEMBL1000224,ASSAY,498021,ACTIVE,34.0
CHEMBL1000225,ASSAY,498022,ACTIVE,34.0
CHEMBL1000226,ASSAY,498023,ACTIVE,34.0
CHEMBL1000227,ASSAY,498024,ACTIVE,34.0
CHEMBL1000228,ASSAY,498025,ACTIVE,34.0
CHEMBL1000229,ASSAY,498026,ACTIVE,34.0
CHEMBL100023,COMPOUND,164654,INACTIVE,
CHEMBL1000230,ASSAY,498027,ACTIVE,34.0
CHEMBL1000231,ASSAY,498028,ACTIVE,34.0
CHEMBL1000232,ASSAY,498029,ACTIVE,34.0
CHEMBL1000233,ASSAY,498030,ACTIVE,34.0
CHEMBL1000234,ASSAY,498031,ACTIVE,34.0
CHEMBL1000235,ASSAY,498032,ACTIVE,34.0
CHEMBL1000236,ASSAY,498033,ACTIVE,34.0
CHEMBL1000237,ASSAY,498034,ACTIVE,34.0
CHEMBL1000238,ASSAY,498035,ACTIVE,34.0
CHEMBL1000239,ASSAY,498036,ACTIVE,34.0
CHEMBL100024,COMPOUND,160770,ACTIVE,34.0
CHEMBL1000240,ASSAY,498037,ACTIVE,34.0
CHEMBL1000241,ASSAY,498038,ACTIVE,34.0
CHEMBL1000242,ASSAY,498039,ACTIVE,34.0
CHEMBL1000243,ASSAY,498040,ACTIVE,34.0
CHEMBL1000244,ASSAY,496364,ACTIVE,34.0
CHEMBL1000245,ASSAY,496365,ACTIVE,34.0
CHEMBL1000246,ASSAY,496366,ACTIVE,34.0
CHEMBL1000247,ASSAY,496367,ACTIVE,34.0
CHEMBL1000248,ASSAY,496368,ACTIVE,34.0
CHEMBL1000249,ASSAY,496369,ACTIVE,34.0
CHEMBL100025,COMPOUND,159236,INACTIVE,18.0
CHEMBL1000250,ASSAY,497984,ACTIVE,34.0
CHEMBL1000251,ASSAY,497985,ACTIVE,34.0
CHEMBL1000252,ASSAY,497986,ACTIVE,34.0
CHEMBL1000253,ASSAY,497987,ACTIVE,34.0
CHEMBL1000254,ASSAY,497988,ACTIVE,34.0
CHEMBL1000255,ASSAY,497989,ACTIVE,34.0
CHEMBL1000256,ASSAY,497990,ACTIVE,34.0
